Therapist Businesses,Addresses,Contact Info,Names,
Sage Wellness - Haile Village,"4850 SW 91st Terrace P-102, Gainesville, FL 32608",3524748882,,
Village Counseling Center of Gainesville ,"2005 SW 75th St #20, Gainesville, FL 32607",3523738189,,Finish With Data
"Matt Seitz, PhD","4421 NW 39th Ave Building 3, Gainesville, FL 32606",3523800209,Matt Seitz,"Export As ""CSV"""
"Alvis Duncan, LMHC","Restoring Hope Counseling Center, 4421 NW 39th Ave building 3, Gainesville, FL 32606",3523800209,Alvis Duncan,Find Way to Convert to JSON
Restoring Hope Counseling Center,"4421 NW 39th Ave bldg 3, Gainesville, FL 32606",3523800209,,Import To Database Firebase
"Wolcott Counseling & Wellness, LLC","2830 NW 41 St, Gainesville, FL 32606",3523631998,,
Thriveworks Counseling & Psychaitry,"4210 NW 37th Pl Ste 700, Gainesville, FL 32606",3524694507,,
Gainesville Healing House,"7106 NW 11th Pl STE B, Gainesville, FL 32605",3526604142,,
"Alicia M. Pfahler, MA","Suites 1&2, 4421 NW 39th Ave building 3, Gainesville, FL 32606",(352) 380-0209,Alicia Phfaler,
Kathleen Joseph & Associates,"1225 NW 10th Ave, Gainesville, FL 32601",(352) 642-6755,Kathleen Joseph,
Appendix Inc: Counseling and Wellness,"3620 NW 43rd St a, Gainesville, FL 32606",(352) 470-0601,,
Arena Counseling and Wellness,"300 E University Ave STE 210, Gainesville, FL 32601",(352) 329-2040,,
Rising Calm Center,"4421 NW 39th Ave building 3, Gainesville, FL 32606",352) 507-4581,,
